project_key,outcome_type,outcome_date,outcome_date_precision,last_known_active_date,first_known_withdrawn_date,outcome_source,outcome_confidence
P::B::J435,withdrawn,2017-04-25,day,,2020-12-31,Berkeley,high
P::B::J436,operational,2020-07-06,day,2021-12-31,,Berkeley,high
P::B::J437,operational,2020-07-06,day,2021-12-31,,Berkeley,high
P::B::J438,operational,2018-12-15,day,,,Berkeley,high
P::B::J439,withdrawn,2018-10-12,day,,2020-12-31,Berkeley,high
P::B::J440,operational,2016-01-10,day,,,Berkeley,high
P::B::J442,operational,2019-10-01,day,,,Berkeley,high
P::B::J443,operational,2018-04-01,day,,,Berkeley,high
P::B::J445,withdrawn,2017-02-01,day,,2021-12-31,Berkeley,high
P::B::J448,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J449,operational,2018-10-15,day,,,Berkeley,high
P::B::J450,withdrawn,2017-07-21,day,,2020-12-31,Berkeley,high
P::B::J451,withdrawn,2017-02-21,day,,2020-12-31,Berkeley,high
P::B::J452,withdrawn,2015-10-09,day,,2020-12-31,Berkeley,high
P::B::J453,operational,2019-06-01,day,,,Berkeley,high
P::B::J454,withdrawn,2017-01-17,day,,2020-12-31,Berkeley,high
P::B::J455,operational,2018-09-15,day,,,Berkeley,high
P::B::J456,operational,2019-12-01,day,,,Berkeley,high
P::B::J457,withdrawn,2019-01-14,day,,2020-12-31,Berkeley,high
P::B::J459,withdrawn,2018-10-12,day,,2020-12-31,Berkeley,high
P::B::J460,operational,2019-09-13,day,,,Berkeley,high
P::B::J461,withdrawn,2016-11-02,day,,2020-12-31,Berkeley,high
P::B::J462,withdrawn,2016-06-15,day,,2020-12-31,Berkeley,high
P::B::J463,withdrawn,2016-06-15,day,,2020-12-31,Berkeley,high
P::B::J464,withdrawn,2016-06-15,day,,2020-12-31,Berkeley,high
P::B::J465,withdrawn,2016-06-17,day,,2020-12-31,Berkeley,high
P::B::J466,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::J468,operational,2019-05-01,day,,,Berkeley,high
P::B::J469,operational,2017-09-01,day,,,Berkeley,high
P::B::J470,withdrawn,2016-09-13,day,,2020-12-31,Berkeley,high
P::B::J471,withdrawn,2016-07-15,day,,2020-12-31,Berkeley,high
P::B::J472,operational,2020-07-01,day,,,Berkeley,high
P::B::J473,operational,2015-09-01,day,,,Berkeley,high
P::B::J474,withdrawn,2021-07-13,day,,2021-12-31,Berkeley,high
P::B::J475,operational,2018-07-01,day,,,Berkeley,high
P::B::J476,active_censored,2025-12-31,observation,2025-12-31,,Berkeley,high
P::B::J477,operational,2018-11-01,day,,,Berkeley,high
P::B::J479,withdrawn,2017-06-06,day,,2020-12-31,Berkeley,high
P::B::J480,withdrawn,2015-11-05,day,,2020-12-31,Berkeley,high
P::B::J481,operational,2019-07-25,day,,,Berkeley,high
P::B::J482,operational,2018-05-01,day,,,Berkeley,high
