trial,pr_auc,use_l2,l1_ratio,C,n,positive_rate,roc_auc,brier,ece,log_loss,precision_at_5pct,recall_at_5pct,lift_at_5pct,withdrawn_mw_capture_at_5pct,precision_at_10pct,recall_at_10pct,lift_at_10pct,withdrawn_mw_capture_at_10pct,precision_at_20pct,recall_at_20pct,lift_at_20pct,withdrawn_mw_capture_at_20pct,pr_lift,val_prevalence,status,model,split,n_features,goal
38,0.045811682099952,False,0.7728803763897198,0.018205467821687565,1666.0,0.04141656662665066,0.5339812873776011,0.06247758704892207,0.1490362702259219,0.2715486593489595,0.07142857142857142,0.08695652173913043,1.7246376811594204,0.0966985938455268,0.041916167664670656,0.10144927536231885,1.012062830860019,0.10688811901365397,0.023952095808383235,0.11594202898550725,0.5783216176342967,0.13093539841043408,1.1061197446162323,0.04141656662665066,ok,logistic_hpo_trial_38,val,85,below_strong
39,0.04489917683505168,True,,0.003194450399399621,1666.0,0.04141656662665066,0.536944270507201,0.06246270349770501,0.14713679841838492,0.27034038564151486,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.030568575504381496,0.04790419161676647,0.11594202898550725,1.1566432352685934,0.13185245567556553,0.04790419161676647,0.2318840579710145,1.1566432352685934,0.23731404116568167,1.0840873711187842,0.04141656662665066,ok,logistic_hpo_trial_39,val,85,below_strong
40,0.04716421549402221,False,0.9426439049379909,0.27723839161129615,1666.0,0.04141656662665066,0.537842694182026,0.08616397584396938,0.1897986528430665,0.32487950304159324,0.011904761904761904,0.014492753623188406,0.28743961352657005,0.02037905033625433,0.0718562874251497,0.17391304347826086,1.73496485290289,0.13348277970246586,0.041916167664670656,0.2028985507246377,1.012062830860019,0.15640921133075197,1.1387765654063913,0.04141656662665066,ok,logistic_hpo_trial_40,val,85,below_strong
41,0.04908543314400153,False,0.4479662191500889,0.051536976388696726,1666.0,0.04141656662665066,0.563198206782645,0.07621563841838287,0.18173124273789165,0.30739897200639926,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.03515386183003872,0.0658682634730539,0.15942028985507245,1.590384448494316,0.11310372936621153,0.05089820359281437,0.2463768115942029,1.2289334374728804,0.1919706541675158,1.185164226346472,0.04141656662665066,ok,logistic_hpo_trial_41,val,85,below_strong
42,0.049751697493802476,False,0.46035143870811557,0.056449557468799004,1666.0,0.04141656662665066,0.5668463514016318,0.07686468208141245,0.18277682171682774,0.308695222601309,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.03515386183003872,0.0718562874251497,0.17391304347826086,1.73496485290289,0.11565111065824332,0.05089820359281437,0.2463768115942029,1.2289334374728804,0.1919706541675158,1.2012511307923903,0.04141656662665066,ok,logistic_hpo_trial_42,val,85,below_strong
43,0.046773186726485005,False,0.504305183397674,0.146531177181804,1666.0,0.04141656662665066,0.5413093390687248,0.08640711310921624,0.19442338513264054,0.32772989669354036,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.030568575504381496,0.0718562874251497,0.17391304347826086,1.73496485290289,0.13348277970246586,0.04491017964071856,0.21739130434782608,1.0843530330643063,0.17169349908294274,1.1293352041496236,0.04141656662665066,ok,logistic_hpo_trial_43,val,85,below_strong
44,0.0457346902760959,False,0.3531989651678542,0.008710826964922197,1666.0,0.04141656662665066,0.5339449874311436,0.059528612444367614,0.1391552374706886,0.262052975635501,0.07142857142857142,0.08695652173913043,1.7246376811594204,0.0966985938455268,0.041916167664670656,0.10144927536231885,1.012062830860019,0.10688811901365397,0.023952095808383235,0.11594202898550725,0.5783216176342967,0.13093539841043408,1.1042607826083446,0.04141656662665066,ok,logistic_hpo_trial_44,val,85,below_strong
45,0.0409602079477437,False,0.6262012297057211,0.021497852288547503,1666.0,0.04141656662665066,0.4539262929587179,0.06735049425448084,0.1631995426241363,0.2861316697772704,0.07142857142857142,0.08695652173913043,1.7246376811594204,0.0966985938455268,0.04790419161676647,0.11594202898550725,1.1566432352685934,0.14764621968616262,0.029940119760479042,0.14492753623188406,0.7229020220428708,0.17821479519054412,0.988981252767261,0.04141656662665066,ok,logistic_hpo_trial_45,val,85,below_strong
46,0.03830572833855296,True,,0.405280270537625,1666.0,0.04141656662665066,0.4796266550506838,0.08261800471038802,0.16899536006688834,0.31133250082371544,0.0,0.0,0.0,0.0,0.03592814371257485,0.08695652173913043,0.867482426451445,0.07540248624414102,0.03293413173652695,0.15942028985507245,0.795192224247158,0.14112492357856124,0.9248890349569455,0.04141656662665066,ok,logistic_hpo_trial_46,val,85,below_strong
47,0.048356985499882196,False,0.39355598943251247,0.04205430000643372,1666.0,0.04141656662665066,0.5577532148140082,0.07497664143500996,0.1794304592322395,0.30468477764479107,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.03515386183003872,0.05389221556886228,0.13043478260869565,1.3012236396771675,0.09374363154676991,0.05089820359281437,0.2463768115942029,1.2289334374728804,0.1919706541675158,1.1675759107652717,0.04141656662665066,ok,logistic_hpo_trial_47,val,85,below_strong
