trial,pr_auc,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,border_count,min_data_in_leaf,n,positive_rate,roc_auc,brier,ece,log_loss,precision_at_5pct,recall_at_5pct,lift_at_5pct,withdrawn_mw_capture_at_5pct,precision_at_10pct,recall_at_10pct,lift_at_10pct,withdrawn_mw_capture_at_10pct,precision_at_20pct,recall_at_20pct,lift_at_20pct,withdrawn_mw_capture_at_20pct,pr_lift,val_prevalence,status,model,split,best_iteration,dropped_features,n_features,goal
123,0.12202402477808547,5,0.19585843920766827,1.4335876175055524,2.7300969567910074,2.199582474881127,212,32,1666.0,0.04141656662665066,0.7951185647001171,0.042191264880628035,0.06322033384656803,0.18577092595250938,0.09523809523809523,0.11594202898550725,2.2995169082125604,0.07845934379457917,0.1317365269461078,0.3188405797101449,3.180768896988632,0.2271245159975545,0.1317365269461078,0.6376811594202898,3.180768896988632,0.5706134094151213,2.946261235946238,0.04141656662665066,ok,catboost_hpo_trial_123,val,27,[],64,strong
124,0.09906982630366903,5,0.19500296846948548,1.4305704524459282,2.7407325650684635,2.271334402358261,198,32,1666.0,0.04141656662665066,0.767163068434474,0.03913782420756509,0.019990281118654814,0.16216341785419383,0.10714285714285714,0.13043478260869565,2.5869565217391304,0.12431220705115141,0.10179640718562874,0.2463768115942029,2.457866874945761,0.25422865294477276,0.09580838323353294,0.463768115942029,2.3132864705371867,0.4880782555532912,2.3920337771291686,0.04141656662665066,ok,catboost_hpo_trial_124,val,51,[],64,below_strong
125,0.07615308208082397,5,0.19359744884992994,1.7179392412942305,3.10192694491877,2.208812970105993,213,32,1666.0,0.04141656662665066,0.6646111821985062,0.04281542600233666,0.05779551426042491,0.1908600887266523,0.08333333333333333,0.10144927536231885,2.0120772946859904,0.06623191359282657,0.0718562874251497,0.17391304347826086,1.73496485290289,0.14265335235378032,0.06287425149700598,0.30434782608695654,1.5180942462900286,0.26339922559608725,1.8387106485022138,0.04141656662665066,ok,catboost_hpo_trial_125,val,23,[],64,below_strong
126,0.08513616080847201,5,0.16536546812281966,1.273900528163588,2.2234153117370927,2.7468581006185455,190,35,1666.0,0.04141656662665066,0.6747479422467851,0.043489355717523985,0.06177450138852287,0.19138622685100257,0.09523809523809523,0.11594202898550725,2.2995169082125604,0.11371510087629916,0.11377245508982035,0.2753623188405797,2.747027683762909,0.24923578561239046,0.08682634730538923,0.42028985507246375,2.0964158639243253,0.3902588139392704,2.055606433433542,0.04141656662665066,ok,catboost_hpo_trial_126,val,62,[],64,below_strong
127,0.07049527578102979,5,0.180183634572905,2.036233432018936,3.5199029430184674,1.7785449416678947,205,31,1666.0,0.04141656662665066,0.6434936883468098,0.04617214837300071,0.07785528310542648,0.2057908869614538,0.11904761904761904,0.14492753623188406,2.8743961352657004,0.11004687181577338,0.07784431137724551,0.18840579710144928,1.8795452573114642,0.16659873649887916,0.0658682634730539,0.3188405797101449,1.590384448494316,0.3137354799266354,1.702103325379647,0.04141656662665066,ok,catboost_hpo_trial_127,val,44,[],64,below_strong
128,0.07328259316368135,5,0.1189213489919849,1.4103920325394093,2.733539963914482,3.2492867324289065,180,29,1666.0,0.04141656662665066,0.7087927545306871,0.04457952786164991,0.055179891335984825,0.18825144889179055,0.047619047619047616,0.057971014492753624,1.1497584541062802,0.07387405746892195,0.0658682634730539,0.15942028985507245,1.590384448494316,0.1757693091501936,0.08682634730538923,0.42028985507246375,2.0964158639243253,0.3720195638883228,1.7694029016042485,0.04141656662665066,ok,catboost_hpo_trial_128,val,103,[],64,below_strong
129,0.09694608831490333,5,0.1920181241413342,1.0999004646767263,2.4654608654791472,2.529726785518335,211,26,1666.0,0.04141656662665066,0.7340484422785476,0.0447176790623591,0.06880149331111444,0.1943038952202342,0.08333333333333333,0.10144927536231885,2.0120772946859904,0.07336458121051559,0.11377245508982035,0.2753623188405797,2.747027683762909,0.2404727939678011,0.11976047904191617,0.5797101449275363,2.891608088171483,0.5201752598328918,2.3407562772844774,0.04141656662665066,ok,catboost_hpo_trial_129,val,34,[],64,below_strong
130,0.09895527665673373,5,0.18722246994125466,1.0912833995134865,2.4301073407799167,2.5822916623481316,198,27,1666.0,0.04141656662665066,0.7695361774341383,0.041460014284485626,0.05218896332496638,0.1844575380782468,0.047619047619047616,0.057971014492753624,1.1497584541062802,0.056042388424699406,0.07784431137724551,0.18840579710144928,1.8795452573114642,0.12991644589362136,0.11377245508982035,0.5507246376811594,2.747027683762909,0.5088648868962706,2.3892679842046145,0.04141656662665066,ok,catboost_hpo_trial_130,val,16,[],64,below_strong
131,0.06931016725707637,5,0.18871918949671,1.0603205628096661,2.4172433398185027,2.7210568935035444,199,27,1666.0,0.04141656662665066,0.7028214133384152,0.04450330287157832,0.06877248188997545,0.19786462225314994,0.05952380952380952,0.07246376811594203,1.4371980676328502,0.07183615243529652,0.03592814371257485,0.08695652173913043,0.867482426451445,0.07438353372732831,0.0718562874251497,0.34782608695652173,1.73496485290289,0.3347259017729774,1.6734889659462209,0.04141656662665066,ok,catboost_hpo_trial_131,val,20,[],64,below_strong
132,0.1095320161826762,5,0.1599234863373945,1.1467136545949654,2.486794223871242,2.400028846695993,211,26,1666.0,0.04141656662665066,0.7432686286787727,0.04304542921100178,0.06592262178180798,0.19104376988914465,0.11904761904761904,0.14492753623188406,2.8743961352657004,0.11463215814143062,0.11976047904191617,0.2898550724637681,2.891608088171483,0.2296718972895863,0.11676646706586827,0.5652173913043478,2.8193178859671963,0.45659262278377827,2.6446425936280953,0.04141656662665066,ok,catboost_hpo_trial_132,val,33,[],64,strong
