project_key,study_cycle,study_group,study_phase,upgrade_cost_usd,upgrade_cost_per_mw,capacity_mw,capacity_reduction_pct,restudy_flag,report_date,effective_date,available_date,entity_key,geographic_key,source_name,source_url,retrieved_at,match_method,match_confidence
P::J1091,DPP-2018-APR,South,GIA,,,150.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1091,POWER LINE ROAD 161KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1092,DPP-2018-APR,West,GIA,,,100.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1092,THREE LAKES 115KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1093,DPP-2018-APR,South,GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1093,REED SWITCH 115KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1094,DPP-2018-APR,Central,GIA,,,150.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1094,PREST 138KV SWITCHING STATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1095,DPP-2018-APR,South,GIA,,,300.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1095,TWINKLETOWN 230KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1096,DPP-2018-APR,Central,GIA,,,150.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1096,NORRIS CITY NORTH MUDDY 138KV LINE,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1097,DPP-2018-APR,South,GIA,,,500.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1097,KEO EHV 500KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1098,DPP-2018-APR,West,GIA,,,40.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1098,LAKEFIELD 345KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1099,DPP-2018-APR,South,GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1099,DERRICK 230KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1100,DPP-2018-APR,South,GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1100,GRIMES 345KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1101,DPP-2018-APR,East (ATC),GIA,,,20.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1101,KEWAUNEE 138KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1102,DPP-2018-APR,Central,GIA,,,70.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1102,FOGARTY 138KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
