document_title,document_url,study_cycle,study_region,study_phase,document_type,report_date,report_date_source,discovery_method,discovered_at,object_id,filename,extension,process_stage,publish_date_meta,download_eligible
GI DPP 2019 West Phase2 System Impact Report PUBLIC 013122,https://cdn.misoenergy.org/GI-DPP-2019-West-Phase2_System_Impact_Report_PUBLIC%20013122622660.pdf,2019 Cycle 1,West,Phase2,DPP Phase 2 System Impact Study,2022-01-31,regex:%m%d%y,optics_api_processstage,2026-09-05T05:53:28Z,622660,GI-DPP-2019-West-Phase2_System_Impact_Report_PUBLIC 013122.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T12:59:15.369326Z,True
GI DPP 2019 ATC Ph2 System Impact Study Final PUBLIC,https://cdn.misoenergy.org/GI-DPP-2019-ATC-Ph2_System_Impact_Study_Final_PUBLIC622921.zip,2019 Cycle 1,ATC,Phase2,DPP Phase 2 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,622921,GI-DPP-2019-ATC-Ph2_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T12:59:15.166086Z,False
GI DPP 2019 ITC Ph2 System Impact Study Final PUBLIC,https://cdn.misoenergy.org/GI-DPP-2019-ITC-Ph2_System_Impact_Study_Final_PUBLIC622899.zip,2019 Cycle 1,Michigan,Phase2,DPP Phase 2 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,622899,GI-DPP-2019-ITC-Ph2_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T12:59:14.736755Z,False
GI DPP 2019 Central Phase II System Impact Study Report Final R03,https://cdn.misoenergy.org/GI%20DPP%202019%20Central%20Phase%20II%20System%20Impact%20Study%20Report_Final_R03623434.zip,2019 Cycle 1,Central,Phase2,DPP Phase 2 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,623434,GI DPP 2019 Central Phase II System Impact Study Report_Final_R03.zip,zip,Definitive Planning Phase (DPP),2025-05-16T12:59:14.398808Z,False
GI DPP 2018 Apr West Phase3 System Impact Study Final 210614 Public,https://cdn.misoenergy.org/GI-DPP-2018-Apr-West-Phase3_System%20Impact%20Study_Final_210614_Public589572.pdf,DPP-2018-APR,West,Phase3,DPP Phase 3 Final Study,,,optics_api_processstage,2026-09-05T05:53:28Z,589572,GI-DPP-2018-Apr-West-Phase3_System Impact Study_Final_210614_Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T12:59:14.234008Z,False
GI DPP 2020 South Ph1 System Impact Study Final PUBLIC 09282021,https://cdn.misoenergy.org/GI-DPP-2020-South-Ph1_System_Impact_Study_Final_PUBLIC_09282021593369.zip,2020 Cycle,South,Phase1,DPP Phase 1 System Impact Study,2021-09-28,regex:%m%d%Y,optics_api_processstage,2026-09-05T05:53:28Z,593369,GI-DPP-2020-South-Ph1_System_Impact_Study_Final_PUBLIC_09282021.zip,zip,Definitive Planning Phase (DPP),2025-05-16T12:59:14.072497Z,True
GI DPP 2018 APR Central SIS Phase II Report R05 10122021,https://cdn.misoenergy.org/GI-DPP-2018-APR-Central_SIS_Phase_II_Report_R05_10122021596538.pdf,DPP-2018-APR,Central,Phase2,DPP Phase 2 System Impact Study,2021-10-12,regex:%m%d%Y,optics_api_processstage,2026-09-05T05:53:28Z,596538,GI-DPP-2018-APR-Central_SIS_Phase_II_Report_R05_10122021.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T12:59:13.909218Z,True
GI DPP 2020 West Phase1 System Impact Study Final Report Public 10272021,https://cdn.misoenergy.org/GI%20DPP%202020%20West%20Phase1%20System%20Impact%20Study%20Final%20Report%20Public%2010272021589199.zip,2020 Cycle,West,Phase1,DPP Phase 1 System Impact Study,2021-10-27,regex:%m%d%Y,optics_api_processstage,2026-09-05T05:53:28Z,589199,GI DPP 2020 West Phase1 System Impact Study Final Report Public 10272021.zip,zip,Definitive Planning Phase (DPP),2025-05-16T12:59:13.69954Z,True
GI DPP 2020 West SIS Phase 2 Final Report Public 11172022.pdf,https://cdn.misoenergy.org/GI%20DPP%202020%20West%20SIS%20Phase%202%20Final%20Report%20Public%2011172022628190.pdf,,West,Phase2,DPP Phase 2 System Impact Study,2022-11-17,regex:%m%d%Y,optics_api_processstage,2026-09-05T05:53:28Z,628190,GI DPP 2020 West SIS Phase 2 Final Report Public 11172022.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T12:59:12.943142Z,True
GI DPP 2017 FEB Central SIS Phase III FINAL Report v2,https://cdn.misoenergy.org/GI-DPP-2017-FEB-Central_SIS_Phase_III_FINAL_Report_v2293965.pdf,DPP-2017-FEB,Central,Phase3,DPP Phase 3 Final Study,,,optics_api_processstage,2026-09-05T05:53:28Z,293965,GI-DPP-2017-FEB-Central_SIS_Phase_III_FINAL_Report_v2.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T12:57:55.186323Z,False
GI DPP 2018 APR West Phase1 System Impact Report Public Rev,https://cdn.misoenergy.org/GI-DPP-2018-APR-West_Phase1_System_Impact_Report_Public_Rev437652.pdf,DPP-2018-APR,West,Phase1,DPP Phase 1 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,437652,GI-DPP-2018-APR-West_Phase1_System_Impact_Report_Public_Rev.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T12:57:54.983932Z,False
