project_key,berkeley_project_id,miso_project_id,match_method,match_confidence,review_status,berkeley_capacity_mw,miso_capacity_mw,capacity_difference_mw,capacity_conflict_flag
P::J1208,J1208,J1208,exact_normalized_queue_id,1.0,accepted,80.0,80.0,0.0,False
P::J1209,J1209,J1209,exact_normalized_queue_id,1.0,accepted,80.0,80.0,0.0,False
P::J1210,J1210,J1210,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1211,J1211,J1211,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1212,J1212,J1212,exact_normalized_queue_id,1.0,accepted,60.0,60.0,0.0,False
P::J1213,J1213,J1213,exact_normalized_queue_id,1.0,accepted,60.0,60.0,0.0,False
P::J1214,J1214,J1214,exact_normalized_queue_id,1.0,accepted,300.0,300.0,0.0,False
P::J1215,J1215,J1215,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1216,J1216,J1216,exact_normalized_queue_id,1.0,accepted,250.0,250.0,0.0,False
P::J1217,J1217,J1217,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1218,J1218,J1218,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1219,J1219,J1219,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1220,J1220,J1220,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1221,J1221,J1221,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1222,J1222,J1222,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1223,J1223,J1223,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1224,J1224,J1224,exact_normalized_queue_id,1.0,accepted,170.0,170.0,0.0,False
P::J1225,J1225,J1225,exact_normalized_queue_id,1.0,accepted,160.0,160.0,0.0,False
P::J1226,J1226,J1226,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1227,J1227,J1227,exact_normalized_queue_id,1.0,accepted,125.0,125.0,0.0,False
P::J1228,J1228,J1228,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1229,J1229,J1229,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1230,J1230,J1230,exact_normalized_queue_id,1.0,accepted,40.0,40.0,0.0,False
P::J1231,J1231,J1231,exact_normalized_queue_id,1.0,accepted,125.0,125.0,0.0,False
P::J1232,J1232,J1232,exact_normalized_queue_id,1.0,accepted,99.0,99.0,0.0,False
P::J1233,J1233,J1233,exact_normalized_queue_id,1.0,accepted,32.5,32.5,0.0,False
P::J1234,J1234,J1234,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1235,J1235,J1235,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1236,J1236,J1236,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1237,J1237,J1237,exact_normalized_queue_id,1.0,accepted,175.0,175.0,0.0,False
P::J1238,J1238,J1238,exact_normalized_queue_id,1.0,accepted,50.0,50.0,0.0,False
P::J1239,J1239,J1239,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1240,J1240,J1240,exact_normalized_queue_id,1.0,accepted,135.0,135.0,0.0,False
P::J1241,J1241,J1241,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1242,J1242,J1242,exact_normalized_queue_id,1.0,accepted,25.0,25.0,0.0,False
P::J1243,J1243,J1243,exact_normalized_queue_id,1.0,accepted,25.0,25.0,0.0,False
P::J1244,J1244,J1244,exact_normalized_queue_id,1.0,accepted,38.4,38.4,0.0,False
